serial_number,longitude,latitude,Number_of_restaurants,Number_of_grocery_stores,Number_of_gyms
1,77.633883,12.972632,50,0,10
2,77.637526,12.979492,50,2,23
3,77.64065,12.978216,50,2,32
4,77.640336,12.965474,50,6,22
5,77.640457,12.964667,50,5,21
6,77.644393,12.967074,50,6,22
7,77.645975,12.964712,42,5,11
8,77.647704,12.964466,50,4,3
9,77.643132,12.960075,50,2,10
10,77.645609,12.961244,50,1,6
11,77.651872,12.974728,50,5,4
12,77.642576,12.958484,50,4,8
13,77.64859,12.983359,32,0,2
14,77.619228,12.981476,13,1,1
15,77.638434,12.95335,50,0,8
